state,state_abbr,income_avg,highest_education
Alabama,AL,59464,13.16016713
Alaska,AK,89094,13.94983893
Arizona,AZ,68103,13.84438706
Arkansas,AR,57693,13.10611303
California,CA,88595,13.73027159
Colorado,CO,82295,14.05560565
Connecticut,CT,100948,14.09881875
Delaware,DE,78773,13.562544
District of Columbia,DC,103525,14.50372578
Florida,FL,67510,13.76616146
Georgia,GA,68820,13.49865229
Hawaii,HI,86866,13.96104619
Idaho,ID,64115,13.58437271
Illinois,IL,79379,13.92157643
Indiana,IN,64422,13.39805825
Iowa,IA,69618,13.58750154
Kansas,KS,71045,13.79629765
Kentucky,KY,59057,13.23107319
Louisiana,LA,63728,13.22248591
Maine,ME,65842,13.85644876
Maryland,MD,97016,14.01634746
Massachusetts,MA,95404,14.07677369
Michigan,MI,66794,13.88183652
Minnesota,MN,81824,14.0413886
Mississippi,MS,54887,13.09090909
Missouri,MO,65169,13.32982805
Montana,MT,62309,13.68938278
Nebraska,NE,68359,13.55553564
Nevada,NV,67029,13.60696118
New Hampshire,NH,86622,13.95211726
New Jersey,NJ,99055,13.83978846
New Mexico,NM,61470,13.41912015
New York,NY,86563,13.86357596
North Carolina,NC,65099,13.36395075
North Dakota,ND,79136,13.66408068
Ohio,OH,66252,13.45039993
Oklahoma,OK,64584,13.36716986
Oregon,OR,69210,14.02428682
Pennsylvania,PA,73112,13.49844123
Rhode Island,RI,77146,13.8406387
South Carolina,SC,61903,13.3462346
South Dakota,SD,66580,13.65245724
Tennessee,TN,62734,13.10588235
Texas,TX,75557,13.42307189
Utah,UT,77413,13.86344735
Vermont,VE,69973,13.99004356
Virginia,VA,88457,13.80280493
Washington,WA,81218,14.14235869
West Virginia,WV,54877,12.98299595
Wisconsin,WI,68953,13.63057143
Wyoming,WY,72305,13.76049033
